OPERAT_CARRIER_CD,Key,OPERAT_FLIGHT_NBR,SCHD_DEP_DT,SCHD_DEP_AIRPRT_IATA_CD,ARVL_AIRPRT_IATA_CD,SCHD_LEG_DEP_TMS,EST_LEG_DEP_TMS,ACTL_LEG_DEP_TMS,SCHD_LEG_ARVL_TMS,EST_LEG_ARVL_TMS,ACTL_LEG_ARVL_TMS,LAST_UPDT_TMS_LCL,CURR_STATUS_IND
AA,1001_2024-08-07_CLT,1001,2024-08-07,CLT,AVL,2024-08-07 18:10:00,2024-08-07 18:23:00,2024-08-07 18:22:00,2024-08-07 19:03:00,2024-08-07 19:07:00,2024-08-07 19:03:00,2024-08-07 20:39:48.074,Y
AA,1001_2024-08-08_AVL,1001,2024-08-08,AVL,CLT,2024-08-08 19:43:00,2024-08-08 21:06:00,2024-08-08 21:04:00,2024-08-08 20:44:00,2024-08-08 22:07:00,,2024-08-08 18:19:40.150,N
AA,1001_2024-08-08_AVL,1001,2024-08-08,AVL,CLT,2024-08-08 19:43:00,2024-08-08 21:06:00,2024-08-08 21:04:00,2024-08-08 20:44:00,2024-08-08 22:04:00,2024-08-08 21:56:00,2024-08-08 21:56:52.262,Y
AA,1001_2024-08-08_AVL,1001,2024-08-08,AVL,CLT,2024-08-08 19:43:00,2024-08-08 21:29:00,2024-08-08 21:04:00,2024-08-08 20:44:00,2024-08-08 22:30:00,,2024-08-08 11:18:53.877,N
AA,1001_2024-08-08_CLT,1001,2024-08-08,CLT,AVL,2024-08-08 18:10:00,2024-08-08 19:39:00,2024-08-08 19:53:00,2024-08-08 19:03:00,2024-08-08 20:30:00,,2024-08-08 18:19:40.157,N
AA,1001_2024-08-08_CLT,1001,2024-08-08,CLT,AVL,2024-08-08 18:10:00,2024-08-08 19:50:00,2024-08-08 19:53:00,2024-08-08 19:03:00,2024-08-08 20:35:00,,2024-08-08 19:44:16.429,N
AA,1001_2024-08-08_CLT,1001,2024-08-08,CLT,AVL,2024-08-08 18:10:00,2024-08-08 19:50:00,2024-08-08 19:53:00,2024-08-08 19:03:00,2024-08-08 20:29:00,2024-08-08 20:29:00,2024-08-08 21:56:52.261,Y
AA,1001_2024-08-08_CLT,1001,2024-08-08,CLT,AVL,2024-08-08 18:10:00,2024-08-08 20:00:00,2024-08-08 19:53:00,2024-08-08 19:03:00,2024-08-08 20:51:00,,2024-08-08 16:47:15.746,N
AA,1001_2024-08-09_AVL,1001,2024-08-09,AVL,CLT,2024-08-09 19:43:00,2024-08-09 19:43:00,2024-08-09 19:46:00,2024-08-09 20:44:00,2024-08-09 21:15:00,2024-08-09 21:18:00,2024-08-09 21:20:10.168,Y
AA,1001_2024-08-09_CLT,1001,2024-08-09,CLT,AVL,2024-08-09 18:10:00,2024-08-09 18:10:00,2024-08-09 18:09:00,2024-08-09 19:03:00,2024-08-09 18:56:00,2024-08-09 18:53:00,2024-08-09 21:20:10.167,Y
AA,1001_2024-08-10_AVL,1001,2024-08-10,AVL,CLT,2024-08-10 19:43:00,2024-08-10 19:43:00,2024-08-10 19:33:00,2024-08-10 20:44:00,2024-08-10 20:45:00,2024-08-10 20:54:00,2024-08-10 20:57:03.967,Y
AA,1001_2024-08-10_CLT,1001,2024-08-10,CLT,AVL,2024-08-10 18:10:00,2024-08-10 18:10:00,2024-08-10 18:13:00,2024-08-10 19:03:00,2024-08-10 18:59:00,2024-08-10 18:55:00,2024-08-10 20:57:03.966,Y
AA,1001_2024-08-11_AVL,1001,2024-08-11,AVL,CLT,2024-08-11 19:43:00,2024-08-11 19:43:00,2024-08-11 19:43:00,2024-08-11 20:44:00,2024-08-11 20:50:00,2024-08-11 20:30:00,2024-08-11 20:30:54.070,Y
AA,1001_2024-08-11_CLT,1001,2024-08-11,CLT,AVL,2024-08-11 18:10:00,2024-08-11 18:10:00,2024-08-11 18:07:00,2024-08-11 19:03:00,2024-08-11 18:58:00,2024-08-11 18:53:00,2024-08-11 20:30:54.069,Y
AA,1001_2024-08-12_AVL,1001,2024-08-12,AVL,CLT,2024-08-12 19:43:00,2024-08-12 19:43:00,2024-08-12 19:51:00,2024-08-12 20:44:00,2024-08-12 20:56:00,2024-08-12 20:58:00,2024-08-12 20:58:58.366,Y
AA,1001_2024-08-12_CLT,1001,2024-08-12,CLT,AVL,2024-08-12 18:10:00,2024-08-12 18:26:00,2024-08-12 18:19:00,2024-08-12 19:03:00,2024-08-12 19:14:00,,2024-08-12 18:03:03.530,N
AA,1001_2024-08-12_CLT,1001,2024-08-12,CLT,AVL,2024-08-12 18:10:00,2024-08-12 18:26:00,2024-08-12 18:19:00,2024-08-12 19:03:00,2024-08-12 19:10:00,2024-08-12 19:08:00,2024-08-12 20:58:58.365,Y
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 20:52:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 21:53:00,,2024-08-13 13:47:16.551,N
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 21:03:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 22:04:00,,2024-08-13 14:18:56.367,N
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 21:04:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 22:05:00,,2024-08-13 17:48:45.047,N
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 21:06:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 22:07:00,,2024-08-13 18:35:38.361,N
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 21:07:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 22:08:00,,2024-08-13 14:22:22.300,N
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 21:12:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 22:13:00,,2024-08-13 17:33:46.462,N
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 21:18:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 22:19:00,,2024-08-13 19:07:14.042,N
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 21:20:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 22:21:00,,2024-08-13 19:34:55.014,N
AA,1001_2024-08-13_AVL,1001,2024-08-13,AVL,CLT,2024-08-13 19:43:00,2024-08-13 21:20:00,2024-08-13 21:10:00,2024-08-13 20:44:00,2024-08-13 22:08:00,2024-08-13 22:12:00,2024-08-13 22:12:29.973,Y
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:30:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:22:00,,2024-08-13 13:44:46.824,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:39:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:30:00,,2024-08-13 13:47:16.555,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:39:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:30:00,,2024-08-13 17:48:45.043,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:41:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:35:00,,2024-08-13 18:35:38.354,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:43:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:34:00,,2024-08-13 14:19:14.017,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:47:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:38:00,,2024-08-13 17:33:46.465,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:51:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:45:00,,2024-08-13 19:02:35.291,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:53:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:47:00,,2024-08-13 19:12:13.513,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:58:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:52:00,,2024-08-13 19:53:51.237,N
AA,1001_2024-08-13_CLT,1001,2024-08-13,CLT,AVL,2024-08-13 18:10:00,2024-08-13 19:58:00,2024-08-13 19:57:00,2024-08-13 19:03:00,2024-08-13 20:37:00,2024-08-13 20:38:00,2024-08-13 22:12:29.972,Y
AA,1001_2024-08-14_AVL,1001,2024-08-14,AVL,CLT,2024-08-14 19:43:00,2024-08-14 19:52:00,2024-08-14 20:18:00,2024-08-14 20:44:00,2024-08-14 20:53:00,,2024-08-14 12:27:03.230,N
AA,1001_2024-08-14_AVL,1001,2024-08-14,AVL,CLT,2024-08-14 19:43:00,2024-08-14 20:00:00,2024-08-14 20:18:00,2024-08-14 20:44:00,2024-08-14 21:01:00,,2024-08-14 13:37:13.626,N
AA,1001_2024-08-14_AVL,1001,2024-08-14,AVL,CLT,2024-08-14 19:43:00,2024-08-14 20:28:00,2024-08-14 20:18:00,2024-08-14 20:44:00,2024-08-14 21:29:00,,2024-08-14 19:35:46.088,N
AA,1001_2024-08-14_AVL,1001,2024-08-14,AVL,CLT,2024-08-14 19:43:00,2024-08-14 20:28:00,2024-08-14 20:18:00,2024-08-14 20:44:00,2024-08-14 22:00:00,2024-08-14 21:42:00,2024-08-14 21:43:26.731,Y
AA,1001_2024-08-14_AVL,1001,2024-08-14,AVL,CLT,2024-08-14 19:43:00,2024-08-14 20:30:00,2024-08-14 20:18:00,2024-08-14 20:44:00,2024-08-14 21:31:00,,2024-08-14 14:09:17.250,N
AA,1001_2024-08-14_AVL,1001,2024-08-14,AVL,CLT,2024-08-14 19:43:00,2024-08-14 20:43:00,2024-08-14 20:18:00,2024-08-14 20:44:00,2024-08-14 21:44:00,,2024-08-14 16:14:01.439,N
AA,1001_2024-08-14_AVL,1001,2024-08-14,AVL,CLT,2024-08-14 19:43:00,2024-08-14 20:46:00,2024-08-14 20:18:00,2024-08-14 20:44:00,2024-08-14 21:47:00,,2024-08-14 18:55:49.446,N
AA,1001_2024-08-14_CLT,1001,2024-08-14,CLT,AVL,2024-08-14 18:10:00,2024-08-14 18:29:00,2024-08-14 19:09:00,2024-08-14 19:03:00,2024-08-14 19:22:00,,2024-08-14 11:35:41.019,N
AA,1001_2024-08-14_CLT,1001,2024-08-14,CLT,AVL,2024-08-14 18:10:00,2024-08-14 18:39:00,2024-08-14 19:09:00,2024-08-14 19:03:00,2024-08-14 19:32:00,,2024-08-14 12:25:12.000,N
AA,1001_2024-08-14_CLT,1001,2024-08-14,CLT,AVL,2024-08-14 18:10:00,2024-08-14 18:47:00,2024-08-14 19:09:00,2024-08-14 19:03:00,2024-08-14 19:40:00,,2024-08-14 13:09:59.755,N
AA,1001_2024-08-14_CLT,1001,2024-08-14,CLT,AVL,2024-08-14 18:10:00,2024-08-14 19:04:00,2024-08-14 19:09:00,2024-08-14 19:03:00,2024-08-14 19:56:00,,2024-08-14 14:09:17.136,N
AA,1001_2024-08-14_CLT,1001,2024-08-14,CLT,AVL,2024-08-14 18:10:00,2024-08-14 19:18:00,2024-08-14 19:09:00,2024-08-14 19:03:00,2024-08-14 20:10:00,,2024-08-14 16:14:01.444,N
AA,1001_2024-08-14_CLT,1001,2024-08-14,CLT,AVL,2024-08-14 18:10:00,2024-08-14 19:18:00,2024-08-14 19:09:00,2024-08-14 19:03:00,2024-08-14 19:49:00,2024-08-14 19:48:00,2024-08-14 21:43:26.730,Y
AA,1001_2024-08-15_AVL,1001,2024-08-15,AVL,CLT,2024-08-15 19:43:00,2024-08-15 19:53:00,2024-08-15 20:20:00,2024-08-15 20:44:00,2024-08-15 20:46:00,,2024-08-15 19:54:00.245,N
AA,1001_2024-08-15_AVL,1001,2024-08-15,AVL,CLT,2024-08-15 19:43:00,2024-08-15 20:00:00,2024-08-15 20:20:00,2024-08-15 20:44:00,2024-08-15 20:53:00,,2024-08-15 19:56:51.196,N
AA,1001_2024-08-15_AVL,1001,2024-08-15,AVL,CLT,2024-08-15 19:43:00,2024-08-15 20:10:00,2024-08-15 20:20:00,2024-08-15 20:44:00,2024-08-15 21:03:00,,2024-08-15 20:04:25.021,N
AA,1001_2024-08-15_AVL,1001,2024-08-15,AVL,CLT,2024-08-15 19:43:00,2024-08-15 20:10:00,2024-08-15 20:20:00,2024-08-15 20:44:00,2024-08-15 21:16:00,2024-08-15 21:15:00,2024-08-15 21:17:46.469,Y
AA,1001_2024-08-15_CLT,1001,2024-08-15,CLT,AVL,2024-08-15 18:10:00,2024-08-15 18:25:00,2024-08-15 18:24:00,2024-08-15 19:03:00,2024-08-15 19:13:00,,2024-08-15 18:11:23.089,N
AA,1001_2024-08-15_CLT,1001,2024-08-15,CLT,AVL,2024-08-15 18:10:00,2024-08-15 18:25:00,2024-08-15 18:24:00,2024-08-15 19:03:00,2024-08-15 19:06:00,2024-08-15 19:09:00,2024-08-15 21:17:46.468,Y
AA,1001_2024-08-16_AVL,1001,2024-08-16,AVL,CLT,2024-08-16 19:43:00,2024-08-16 19:56:00,2024-08-16 20:07:00,2024-08-16 20:44:00,2024-08-16 20:57:00,,2024-08-16 09:39:29.809,N
AA,1001_2024-08-16_AVL,1001,2024-08-16,AVL,CLT,2024-08-16 19:43:00,2024-08-16 20:06:00,2024-08-16 20:07:00,2024-08-16 20:44:00,2024-08-16 20:58:00,,2024-08-16 19:37:54.363,N
AA,1001_2024-08-16_AVL,1001,2024-08-16,AVL,CLT,2024-08-16 19:43:00,2024-08-16 20:06:00,2024-08-16 20:07:00,2024-08-16 20:44:00,2024-08-16 21:03:00,2024-08-16 20:58:00,2024-08-16 20:58:55.129,Y
AA,1001_2024-08-16_CLT,1001,2024-08-16,CLT,AVL,2024-08-16 18:10:00,2024-08-16 18:33:00,2024-08-16 18:41:00,2024-08-16 19:03:00,2024-08-16 19:26:00,,2024-08-16 09:39:47.186,N
AA,1001_2024-08-16_CLT,1001,2024-08-16,CLT,AVL,2024-08-16 18:10:00,2024-08-16 18:40:00,2024-08-16 18:41:00,2024-08-16 19:03:00,2024-08-16 19:29:00,,2024-08-16 18:01:55.211,N
AA,1001_2024-08-16_CLT,1001,2024-08-16,CLT,AVL,2024-08-16 18:10:00,2024-08-16 18:40:00,2024-08-16 18:41:00,2024-08-16 19:03:00,2024-08-16 19:22:00,2024-08-16 19:31:00,2024-08-16 20:58:55.128,Y
AA,1001_2024-08-17_AVL,1001,2024-08-17,AVL,CLT,2024-08-17 19:43:00,2024-08-17 20:06:00,2024-08-17 19:53:00,2024-08-17 20:44:00,2024-08-17 21:06:00,,2024-08-17 18:33:47.670,N
AA,1001_2024-08-17_AVL,1001,2024-08-17,AVL,CLT,2024-08-17 19:43:00,2024-08-17 20:06:00,2024-08-17 19:53:00,2024-08-17 20:44:00,2024-08-17 20:53:00,2024-08-17 21:00:00,2024-08-17 21:00:58.527,Y
AA,1001_2024-08-17_CLT,1001,2024-08-17,CLT,AVL,2024-08-17 18:10:00,2024-08-17 18:20:00,2024-08-17 18:38:00,2024-08-17 19:03:00,2024-08-17 19:16:00,,2024-08-17 18:08:09.031,N
AA,1001_2024-08-17_CLT,1001,2024-08-17,CLT,AVL,2024-08-17 18:10:00,2024-08-17 18:35:00,2024-08-17 18:38:00,2024-08-17 19:03:00,2024-08-17 19:31:00,,2024-08-17 18:16:33.970,N
AA,1001_2024-08-17_CLT,1001,2024-08-17,CLT,AVL,2024-08-17 18:10:00,2024-08-17 18:50:00,2024-08-17 18:38:00,2024-08-17 19:03:00,2024-08-17 19:46:00,,2024-08-17 18:33:10.011,N
AA,1001_2024-08-17_CLT,1001,2024-08-17,CLT,AVL,2024-08-17 18:10:00,2024-08-17 18:50:00,2024-08-17 18:38:00,2024-08-17 19:03:00,2024-08-17 19:27:00,2024-08-17 19:27:00,2024-08-17 21:00:58.526,Y
AA,1001_2024-08-18_AVL,1001,2024-08-18,AVL,CLT,2024-08-18 19:43:00,2024-08-18 20:00:00,2024-08-18 20:17:00,2024-08-18 20:44:00,2024-08-18 20:53:00,,2024-08-18 19:28:30.127,N
AA,1001_2024-08-18_AVL,1001,2024-08-18,AVL,CLT,2024-08-18 19:43:00,2024-08-18 20:10:00,2024-08-18 20:17:00,2024-08-18 20:44:00,2024-08-18 21:03:00,,2024-08-18 20:11:14.967,N
AA,1001_2024-08-18_AVL,1001,2024-08-18,AVL,CLT,2024-08-18 19:43:00,2024-08-18 20:10:00,2024-08-18 20:17:00,2024-08-18 20:44:00,2024-08-18 21:20:00,2024-08-18 21:17:00,2024-08-18 21:18:27.016,Y
AA,1001_2024-08-18_CLT,1001,2024-08-18,CLT,AVL,2024-08-18 18:10:00,2024-08-18 18:27:00,2024-08-18 18:24:00,2024-08-18 19:03:00,2024-08-18 19:16:00,,2024-08-18 17:43:55.374,N
AA,1001_2024-08-18_CLT,1001,2024-08-18,CLT,AVL,2024-08-18 18:10:00,2024-08-18 18:27:00,2024-08-18 18:24:00,2024-08-18 19:03:00,2024-08-18 19:30:00,2024-08-18 19:34:00,2024-08-18 21:18:27.015,Y
